id,split,label,challenge,n_sets,min_pages,max_pages,has_sentence_only_set,modality_summary,set_pages,strict_multi_article,lenient_multi_article,has_sentence_only_multi_page_set
12881,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
61909,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
82749,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
32116,train,SUPPORTS,Combining Tables and Text,1,4,4,0,mixed,4,1,1,0
69174,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
25247,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
82956,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
50536,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
88319,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
31488,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
44467,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
45987,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
70642,train,REFUTES,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
60552,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
35366,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
47794,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
53910,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
87016,train,REFUTES,Other,2,1,1,1,sentence-only|table-only,1|1,0,0,0
85829,train,SUPPORTS,Multi-hop Reasoning,1,3,3,0,mixed,3,1,1,0
77115,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
72596,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
44709,train,SUPPORTS,Entity Disambiguation,1,2,2,0,mixed,2,1,1,0
21153,train,NOT ENOUGH INFO,Other,1,1,1,1,sentence-only,1,0,0,0
90771,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
65716,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
65026,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
31475,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
37541,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,table-only,2,1,1,0
31193,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
16391,train,REFUTES,Multi-hop Reasoning,1,1,1,1,sentence-only,1,0,0,0
80385,train,NOT ENOUGH INFO,Other,1,1,1,0,table-only,1,0,0,0
65163,train,SUPPORTS,Multi-hop Reasoning,1,1,1,1,sentence-only,1,0,0,0
8416,train,SUPPORTS,Combining Tables and Text,2,1,1,0,table-only|mixed,1|1,0,0,0
9794,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
49180,train,REFUTES,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
1845,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
22232,train,SUPPORTS,Numerical Reasoning,2,1,1,0,table-only|table-only,1|1,0,0,0
91511,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
82881,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
15240,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
95515,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
14382,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
76331,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
44814,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
58548,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
48550,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
47721,train,NOT ENOUGH INFO,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
64576,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
8995,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
17659,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
30964,train,REFUTES,Combining Tables and Text,2,1,1,0,mixed|mixed,1|1,0,0,0
51027,train,SUPPORTS,Multi-hop Reasoning,1,1,1,1,sentence-only,1,0,0,0
33407,train,SUPPORTS,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
20996,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
88530,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
61716,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
90781,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
17960,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
6398,train,SUPPORTS,Combining Tables and Text,2,1,1,1,sentence-only|mixed,1|1,0,0,0
44497,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
2586,train,SUPPORTS,Multi-hop Reasoning,2,4,4,1,sentence-only|mixed,4|4,1,1,1
59959,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
46177,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
93798,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
31700,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
65730,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
40598,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
55411,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
64722,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
12326,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
54613,train,REFUTES,Numerical Reasoning,1,2,2,0,table-only,2,1,1,0
91333,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
4926,train,SUPPORTS,Other,1,1,1,0,mixed,1,0,0,0
68221,train,REFUTES,Other,2,1,1,1,sentence-only|table-only,1|1,0,0,0
92300,train,REFUTES,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
31829,train,SUPPORTS,Multi-hop Reasoning,1,3,3,1,sentence-only,3,1,1,1
54027,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
42356,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
38840,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
64873,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
75120,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
29572,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
55564,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
77020,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
79439,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
63882,train,REFUTES,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
32831,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
59250,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
15299,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
59494,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
58737,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
56394,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
11387,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
75189,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
48748,train,SUPPORTS,Entity Disambiguation,1,1,1,1,sentence-only,1,0,0,0
12805,train,NOT ENOUGH INFO,Other,1,1,1,0,table-only,1,0,0,0
39929,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
44680,train,NOT ENOUGH INFO,Search terms not in claim,1,2,2,1,sentence-only,2,1,1,1
62477,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
37966,train,SUPPORTS,Multi-hop Reasoning,1,1,1,1,sentence-only,1,0,0,0
44019,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
53763,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
1681,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
41738,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
68029,train,REFUTES,Other,2,1,1,0,table-only|table-only,1|1,0,0,0
11327,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,table-only,2,1,1,0
94283,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
30982,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
27841,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
27228,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
53290,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
87197,train,REFUTES,Other,2,1,1,0,table-only|table-only,1|1,0,0,0
7475,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
27456,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
37590,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
76953,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
35109,train,SUPPORTS,Search terms not in claim,1,1,1,0,table-only,1,0,0,0
95408,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,table-only,2,1,1,0
94575,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
76558,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
39964,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
29859,train,REFUTES,Entity Disambiguation,1,1,1,1,sentence-only,1,0,0,0
18833,train,SUPPORTS,Other,1,2,2,1,sentence-only,2,1,1,1
12516,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
81202,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
39320,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
75789,train,SUPPORTS,Multi-hop Reasoning,1,1,1,1,sentence-only,1,0,0,0
63686,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
39906,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
67233,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
81394,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
1658,train,SUPPORTS,Numerical Reasoning,1,1,1,0,mixed,1,0,0,0
41547,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
91775,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
23228,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
25215,train,SUPPORTS,Multi-hop Reasoning,2,2,2,1,mixed|sentence-only,2|2,1,1,1
7435,train,REFUTES,Numerical Reasoning,1,1,1,1,sentence-only,1,0,0,0
26061,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
70667,train,SUPPORTS,Multi-hop Reasoning,1,1,1,1,sentence-only,1,0,0,0
66515,train,REFUTES,Entity Disambiguation,1,1,1,1,sentence-only,1,0,0,0
47615,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
60560,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
5208,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
90198,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
78241,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
48860,train,SUPPORTS,Combining Tables and Text,2,1,1,0,table-only|mixed,1|1,0,0,0
39829,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
7131,train,SUPPORTS,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
41649,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
65638,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
74735,train,REFUTES,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
72406,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
84780,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
15390,train,REFUTES,Other,2,1,1,1,sentence-only|sentence-only,1|1,0,0,0
24992,train,SUPPORTS,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
29415,train,NOT ENOUGH INFO,Search terms not in claim,1,1,1,0,table-only,1,0,0,0
52333,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
46589,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
35103,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
9752,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
46149,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,table-only,2,1,1,0
83226,train,SUPPORTS,Other,2,1,1,1,sentence-only|table-only,1|1,0,0,0
27034,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
73606,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
16148,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
49022,train,REFUTES,Numerical Reasoning,1,1,1,0,mixed,1,0,0,0
30106,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
94819,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
65828,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
44295,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
27186,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
50530,train,SUPPORTS,Multi-hop Reasoning,1,3,3,1,sentence-only,3,1,1,1
90713,train,NOT ENOUGH INFO,Other,1,1,1,1,sentence-only,1,0,0,0
68093,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
31408,train,REFUTES,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
46822,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
49356,train,NOT ENOUGH INFO,Other,1,1,1,1,sentence-only,1,0,0,0
4403,train,SUPPORTS,Multi-hop Reasoning,2,1,1,1,table-only|sentence-only,1|1,0,0,0
90542,train,SUPPORTS,Numerical Reasoning,1,1,1,0,mixed,1,0,0,0
37982,train,NOT ENOUGH INFO,Multi-hop Reasoning,1,1,1,1,sentence-only,1,0,0,0
66064,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
66278,train,SUPPORTS,Numerical Reasoning,1,2,2,0,mixed,2,1,1,0
44940,train,SUPPORTS,Multi-hop Reasoning,1,1,1,1,sentence-only,1,0,0,0
16612,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
64973,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
26947,train,NOT ENOUGH INFO,Other,1,1,1,0,mixed,1,0,0,0
33726,train,REFUTES,Numerical Reasoning,2,1,1,0,mixed|table-only,1|1,0,0,0
43348,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
93136,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
48086,train,SUPPORTS,Multi-hop Reasoning,1,4,4,0,mixed,4,1,1,0
70820,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
83061,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
35461,train,SUPPORTS,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
69552,train,REFUTES,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
85290,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
71984,train,SUPPORTS,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
44163,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
16907,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
73024,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
95129,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
35663,train,SUPPORTS,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
18884,train,REFUTES,Numerical Reasoning,1,1,1,1,sentence-only,1,0,0,0
60415,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,table-only,2,1,1,0
8042,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
58276,train,NOT ENOUGH INFO,Multi-hop Reasoning,1,7,7,0,mixed,7,1,1,0
49170,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
92781,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
46545,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
93229,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
39007,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
95549,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
52057,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
91712,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
13738,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
77700,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
51748,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
21670,train,NOT ENOUGH INFO,Other,1,1,1,1,sentence-only,1,0,0,0
68889,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
56168,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
18785,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
29258,train,SUPPORTS,Numerical Reasoning,1,1,1,0,table-only,1,0,0,0
30707,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
76323,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
17968,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
47509,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
71515,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
47577,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
85897,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
19113,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
46559,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
87874,train,SUPPORTS,Other,1,1,1,0,mixed,1,0,0,0
16006,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
71506,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
34446,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
19447,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
32321,train,SUPPORTS,Combining Tables and Text,1,1,1,0,table-only,1,0,0,0
50562,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
28238,train,SUPPORTS,Other,1,2,2,0,mixed,2,1,1,0
71734,train,SUPPORTS,Combining Tables and Text,3,1,1,1,table-only|sentence-only|mixed,1|1|1,0,0,0
27368,train,REFUTES,Other,2,1,1,0,table-only|table-only,1|1,0,0,0
40085,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
12218,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
36437,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
9325,train,REFUTES,Combining Tables and Text,2,1,1,0,table-only|mixed,1|1,0,0,0
89323,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
12188,train,REFUTES,Multi-hop Reasoning,1,1,1,0,table-only,1,0,0,0
87060,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
10841,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
76684,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
68809,train,REFUTES,Numerical Reasoning,2,1,1,0,table-only|table-only,1|1,0,0,0
25391,train,REFUTES,Combining Tables and Text,1,2,2,0,mixed,2,1,1,0
40475,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
94387,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
62187,train,REFUTES,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
37551,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
8140,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
15573,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
20890,train,SUPPORTS,Other,1,1,1,0,mixed,1,0,0,0
93590,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
9227,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
78077,train,REFUTES,Numerical Reasoning,1,1,1,1,sentence-only,1,0,0,0
51863,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
31811,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
25912,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
77294,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
49580,train,REFUTES,Numerical Reasoning,1,1,1,1,sentence-only,1,0,0,0
31298,train,SUPPORTS,Multi-hop Reasoning,1,2,2,0,mixed,2,1,1,0
64260,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
5346,train,SUPPORTS,Combining Tables and Text,2,1,1,0,mixed|table-only,1|1,0,0,0
44337,train,REFUTES,Numerical Reasoning,1,1,1,1,sentence-only,1,0,0,0
84168,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
52445,train,SUPPORTS,Multi-hop Reasoning,2,1,1,0,table-only|table-only,1|1,0,0,0
37091,train,REFUTES,Entity Disambiguation,2,1,1,1,sentence-only|table-only,1|1,0,0,0
79155,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
35365,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
88558,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
4764,train,SUPPORTS,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
14337,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
52443,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
46925,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
91987,train,SUPPORTS,Entity Disambiguation,1,1,1,1,sentence-only,1,0,0,0
13688,train,NOT ENOUGH INFO,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
10518,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
72834,train,REFUTES,Other,1,1,1,0,mixed,1,0,0,0
50591,train,REFUTES,Other,1,1,1,1,sentence-only,1,0,0,0
46699,train,SUPPORTS,Combining Tables and Text,1,1,1,0,table-only,1,0,0,0
83036,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
89873,train,REFUTES,Search terms not in claim,1,1,1,0,table-only,1,0,0,0
12369,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
66988,train,SUPPORTS,Multi-hop Reasoning,1,2,2,1,sentence-only,2,1,1,1
31902,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
36130,train,REFUTES,Other,1,1,1,0,table-only,1,0,0,0
80040,train,NOT ENOUGH INFO,Other,1,1,1,1,sentence-only,1,0,0,0
29080,train,SUPPORTS,Multi-hop Reasoning,1,3,3,0,mixed,3,1,1,0
70631,train,REFUTES,Numerical Reasoning,1,1,1,1,sentence-only,1,0,0,0
34209,train,REFUTES,Combining Tables and Text,1,1,1,0,mixed,1,0,0,0
20682,train,REFUTES,Combining Tables and Text,3,1,1,1,sentence-only|table-only|table-only,1|1|1,0,0,0
52161,train,SUPPORTS,Other,2,1,1,0,mixed|mixed,1|1,0,0,0
36123,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
86183,train,SUPPORTS,Other,1,1,1,1,sentence-only,1,0,0,0
80005,train,SUPPORTS,Other,1,1,1,0,table-only,1,0,0,0
